t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.320000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.007238,0.450000,0.007238,-0.192887,-0.445459,0.688870,-0.060378,-0.087512,3.280306,-40.582727,0.461348,4.027529,31.840941,-13.424203,0.071091,-179.732232,0.422520
0.325000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.007442,0.450000,0.007442,-0.188822,-0.445498,0.690869,-0.061650,-0.089525,3.283899,-40.586894,0.468018,4.079481,31.857312,-13.628493,0.073414,-179.711964,0.427272
0.330000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.007649,0.450000,0.007649,-0.185336,-0.445987,0.692384,-0.062911,-0.091534,3.287504,-40.592275,0.474602,4.129851,31.861096,-13.832807,0.075771,-179.691441,0.432787
0.335000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.007858,0.450000,0.007858,-0.182344,-0.440874,0.693729,-0.064164,-0.093527,3.291118,-40.597496,0.480854,4.186901,31.858015,-14.037147,0.078159,-179.670649,0.417437
0.340000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.008070,0.450000,0.008070,-0.178153,-0.435730,0.694828,-0.065407,-0.095489,3.294740,-40.603271,0.486882,4.245937,31.821825,-14.241516,0.080579,-179.649567,0.407390
0.345000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.008286,0.450000,0.008286,-0.174047,-0.432225,0.695782,-0.066637,-0.097425,3.298369,-40.610186,0.492822,4.304733,31.882840,-14.445916,0.083028,-179.628190,0.405807
0.350000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.008504,0.450000,0.008504,-0.170158,-0.430969,0.696438,-0.067855,-0.099344,3.302005,-40.618113,0.498827,4.360498,31.872333,-14.650353,0.085507,-179.606527,0.411435
0.355000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.008724,0.450000,0.008724,-0.166507,-0.430347,0.696516,-0.069061,-0.101254,3.305644,-40.627236,0.504625,4.415289,31.882160,-14.854834,0.088015,-179.584588,0.416781
0.360000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.008948,0.450000,0.008948,-0.163481,-0.426827,0.696352,-0.070258,-0.103149,3.309286,-40.636515,0.510186,4.473558,31.916450,-15.059361,0.090552,-179.562366,0.409337
0.365000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.009175,0.450000,0.009175,-0.160316,-0.426146,0.696004,-0.071445,-0.105030,3.312929,-40.646865,0.515772,4.529474,31.827379,-15.263937,0.093117,-179.539858,0.412383
0.370000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.009404,0.450000,0.009404,-0.157152,-0.422698,0.695287,-0.072624,-0.106896,3.316571,-40.657805,0.520923,4.589433,31.887384,-15.468567,0.095709,-179.517061,0.405680
0.375000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.009636,0.450000,0.009636,-0.153334,-0.421949,0.694407,-0.073792,-0.108748,3.320212,-40.669523,0.526159,4.646587,31.850736,-15.673253,0.098327,-179.493971,0.408617
0.380000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.009872,0.450000,0.009872,-0.149399,-0.418871,0.693130,-0.074947,-0.110587,3.323849,-40.681722,0.531022,4.706752,31.835324,-15.878000,0.100970,-179.470588,0.403408
0.385000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.010110,0.450000,0.010110,-0.145739,-0.420111,0.691520,-0.076089,-0.112417,3.327482,-40.695452,0.535905,4.762859,31.939848,-16.082813,0.103637,-179.446913,0.412618
0.390000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.010351,0.450000,0.010351,-0.142661,-0.413436,0.689264,-0.077220,-0.114230,3.331106,-40.707946,0.540319,4.825921,31.995149,-16.287691,0.106328,-179.422942,0.394831
0.395000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.010595,0.450000,0.010595,-0.139353,-0.414431,0.686598,-0.078340,-0.116026,3.334720,-40.722332,0.544861,4.882112,32.050636,-16.492637,0.109040,-179.398671,0.406541
0.400000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.010842,0.450000,0.010842,-0.135665,-0.410635,0.683625,-0.079448,-0.117813,3.338322,-40.736395,0.549085,4.942323,32.028601,-16.697654,0.111775,-179.374110,0.399260
0.405000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.011093,0.450000,0.011093,-0.131864,-0.407187,0.680185,-0.080542,-0.119578,3.341910,-40.751038,0.552981,5.003932,32.060580,-16.902744,0.114530,-179.349245,0.394541
0.410000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.011346,0.450000,0.011346,-0.128609,-0.406930,0.676441,-0.081622,-0.121332,3.345481,-40.766786,0.556917,5.062222,32.104228,-17.107910,0.117305,-179.324079,0.400828
0.415000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.011602,0.450000,0.011602,-0.125233,-0.403314,0.672431,-0.082690,-0.123074,3.349034,-40.782290,0.560575,5.123896,32.228061,-17.313155,0.120099,-179.298614,0.393544
0.420000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.011861,0.450000,0.011861,-0.121245,-0.403686,0.668018,-0.083743,-0.124806,3.352569,-40.798716,0.564341,5.180941,32.273341,-17.518481,0.122911,-179.272852,0.400517
0.425000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.012123,0.450000,0.012123,-0.117459,-0.403272,0.663484,-0.084780,-0.126536,3.356083,-40.815629,0.567986,5.238528,32.213188,-17.723890,0.125742,-179.246803,0.401539
0.430000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.012388,0.450000,0.012388,-0.114659,-0.401771,0.658751,-0.085804,-0.128260,3.359576,-40.833038,0.571321,5.298697,32.332356,-17.929385,0.128590,-179.220460,0.397459
0.435000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.012656,0.450000,0.012656,-0.111077,-0.399438,0.653618,-0.086815,-0.129973,3.363047,-40.850194,0.574579,5.358925,32.346926,-18.134968,0.131455,-179.193816,0.392650
0.440000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.012927,0.450000,0.012927,-0.107104,-0.396815,0.648238,-0.087810,-0.131672,3.366492,-40.867740,0.577581,5.420500,32.413084,-18.340638,0.134335,-179.166868,0.388517
0.445000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.013201,0.450000,0.013201,-0.102747,-0.396370,0.642763,-0.088787,-0.133363,3.369912,-40.885947,0.580642,5.479864,32.409344,-18.546398,0.137231,-179.139617,0.391425
0.450000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.013478,0.450000,0.013478,-0.098458,-0.398307,0.636999,-0.089744,-0.135056,3.373306,-40.905411,0.583620,5.536565,32.334045,-18.752252,0.140141,-179.112076,0.400114
0.455000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.013757,0.450000,0.013757,-0.094197,-0.401283,0.630997,-0.090682,-0.136761,3.376674,-40.926045,0.586393,5.592249,32.338654,-18.958208,0.143066,-179.084254,0.407855
0.460000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.014040,0.450000,0.014040,-0.089003,-0.401978,0.624798,-0.091598,-0.138475,3.380015,-40.946579,0.588944,5.649812,32.338286,-19.164267,0.146005,-179.056148,0.405090
0.465000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.014325,0.450000,0.014325,-0.084091,-0.398949,0.618348,-0.092491,-0.140184,3.383326,-40.966546,0.591114,5.712207,32.325500,-19.370428,0.148955,-179.027743,0.392111
0.470000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.014614,0.450000,0.014614,-0.079385,-0.404612,0.611631,-0.093361,-0.141899,3.386606,-40.989024,0.593483,5.765951,32.318200,-19.576696,0.151916,-178.999048,0.410628
0.475000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.014905,0.450000,0.014905,-0.073990,-0.400774,0.604725,-0.094206,-0.143618,3.389855,-41.009940,0.595277,5.828657,32.309286,-19.783074,0.154888,-178.970062,0.394105
0.480000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.015199,0.450000,0.015199,-0.069352,-0.402477,0.597515,-0.095028,-0.145334,3.393071,-41.032282,0.597066,5.887363,32.252834,-19.989560,0.157869,-178.940771,0.399388
0.485000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.015497,0.450000,0.015497,-0.064767,-0.403438,0.590224,-0.095827,-0.147056,3.396253,-41.055226,0.598636,5.946758,32.262975,-20.196160,0.160858,-178.911186,0.401008
0.490000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.015797,0.450000,0.015797,-0.060236,-0.406242,0.582535,-0.096603,-0.148789,3.399400,-41.079024,0.600114,6.003731,32.230897,-20.402877,0.163855,-178.881310,0.407438
0.495000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.016100,0.450000,0.016100,-0.054928,-0.415396,0.574542,-0.097355,-0.150554,3.402512,-41.105307,0.601640,6.052970,32.168702,-20.609721,0.166859,-178.851168,0.430993
0.500000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.016405,0.450000,0.016405,-0.050458,-0.423299,0.566203,-0.098083,-0.152362,3.405591,-41.132546,0.602908,6.101593,32.152249,-20.816700,0.169871,-178.820782,0.442410
0.505000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.016713,0.450000,0.016713,-0.047231,-0.424747,0.557634,-0.098791,-0.154196,3.408630,-41.158667,0.603764,6.156631,32.167579,-21.023812,0.172887,-178.790136,0.429685
0.510000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.017023,0.450000,0.017023,-0.042875,-0.424076,0.549015,-0.099480,-0.156034,3.411630,-41.184217,0.604360,6.215043,32.151754,-21.231055,0.175908,-178.759207,0.416242
0.515000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.017337,0.450000,0.017337,-0.038214,-0.420526,0.540271,-0.100145,-0.157864,3.414586,-41.209198,0.604590,6.277837,32.206470,-21.438425,0.178930,-178.727975,0.401143
0.520000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.017654,0.450000,0.017654,-0.034008,-0.421209,0.531279,-0.100786,-0.159689,3.417499,-41.235257,0.604890,6.336579,32.241540,-21.645924,0.181954,-178.696439,0.405413
0.525000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.017974,0.450000,0.017974,-0.030516,-0.419982,0.521913,-0.101406,-0.161515,3.420368,-41.261293,0.604931,6.396727,32.262254,-21.853553,0.184978,-178.664606,0.403156
0.530000,0,trim,0.450000,0.000000,0,0.150000,0.000000,0.018297,0.450000,0.018297,-0.026349,-0.421681,0.512522,-0.102005,-0.163346,3.423191,-41.288274,0.604950,6.454368,32.257373,-22.061316,0.188003,-178.632478,0.408879
