t_s,cell,phase,throttle,elevator_trim,axis,amplitude,cmd_aileron,cmd_elevator,cmd_throttle,elev_trimmed,rate_p,rate_q,rate_r,phi,theta,psi,vel_x,vel_y,vel_z,v_rel_airmass,pos_x,pos_y,pos_z,flight_cl
0.290000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.006181,0.450000,-0.006181,-0.169619,-0.390968,0.665066,-0.046078,-0.071962,3.256161,-40.654820,0.393598,3.860742,31.005872,-12.207653,0.055277,-899.416595,0.403407
0.295000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.006377,0.450000,-0.006377,-0.167041,-0.384787,0.669870,-0.047170,-0.073744,3.259594,-40.653812,0.399616,3.929286,30.988483,-12.412286,0.057260,-899.397120,0.397265
0.300000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.006577,0.450000,-0.006577,-0.164748,-0.378944,0.674342,-0.048257,-0.075491,3.263052,-40.653817,0.405500,3.998184,30.973865,-12.616916,0.059273,-899.377301,0.394308
0.305000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.006780,0.450000,-0.006780,-0.162003,-0.374495,0.678441,-0.049339,-0.077207,3.266532,-40.655027,0.411254,4.065965,30.985753,-12.821549,0.061315,-899.357140,0.396683
0.310000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.006987,0.450000,-0.006987,-0.159253,-0.372855,0.682168,-0.050415,-0.078904,3.270033,-40.657669,0.416983,4.130245,30.991415,-13.026192,0.063385,-899.336650,0.406920
0.315000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.007197,0.450000,-0.007197,-0.155956,-0.370004,0.685567,-0.051484,-0.080584,3.273553,-40.661145,0.422531,4.195287,30.995000,-13.230850,0.065484,-899.315836,0.408158
0.320000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.007410,0.450000,-0.007410,-0.152840,-0.367719,0.688640,-0.052543,-0.082247,3.277092,-40.665640,0.427960,4.259873,31.005772,-13.435529,0.067610,-899.294698,0.409890
0.325000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.007626,0.450000,-0.007626,-0.149121,-0.366048,0.691396,-0.053593,-0.083896,3.280647,-40.671152,0.433266,4.323449,31.014686,-13.640232,0.069763,-899.273240,0.413112
0.330000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.007845,0.450000,-0.007845,-0.145285,-0.364876,0.693921,-0.054631,-0.085533,3.284216,-40.677674,0.438483,4.386249,31.061968,-13.844966,0.071942,-899.251466,0.416361
0.335000,0,trim,0.450000,0.000000,1,0.350000,0.000000,-0.008068,0.450000,-0.008068,-0.141186,-0.362494,0.696086,-0.055656,-0.087158,3.287800,-40.684759,0.443542,4.449496,31.134007,-14.049734,0.074147,-899.229376,0.415029
