t_ms,msp,motor,servo0,servo1,gyro_p,gyro_q,gyro_r,acc_x,acc_y,acc_z,qw,qx,qy,qz,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,tgtpos_n,tgtpos_e,tgtpos_d,rcData0,rcData1,rcData2,rcData3
168154.6610,2.0000,1998.0000,1495.0000,1000.0000,-5.0000,29.0000,16.0000,227.0000,-63.0000,616.0000,0.0394,-0.3888,-0.3085,0.8672,148.4700,-74.6400,-108.0100,-22.4200,-2.1200,10.1500,0.0000,0.0000,-0.0000,1985.0000,1980.0000,1500.0000,1999.0000
168171.2920,2.0000,1998.0000,1495.0000,1000.0000,41.0000,64.0000,13.0000,534.0000,-139.0000,891.0000,0.0405,-0.3945,-0.3055,0.8657,147.9600,-74.6800,-107.8500,-22.5400,-2.1000,10.3000,0.0000,0.0000,-0.0000,1985.0000,1980.0000,1500.0000,1999.0000
168187.9950,2.0000,1998.0000,1495.0000,1000.0000,130.0000,114.0000,13.0000,415.0000,-210.0000,938.0000,0.0475,-0.4052,-0.2938,0.8645,147.4500,-74.7200,-107.6900,-22.7000,-2.0900,10.4500,0.0000,0.0000,-0.0000,1985.0000,1980.0000,1500.0000,1999.0000
168204.9910,2.0000,1983.0000,1156.0000,1000.0000,233.0000,188.0000,16.0000,57.0000,-254.0000,-474.0000,0.0627,-0.4235,-0.2684,0.8630,146.9400,-74.7600,-107.5400,-22.8600,-2.0900,10.5900,0.0000,0.0000,-0.0000,1999.0000,1656.0000,1500.0000,1985.0000
168221.8730,2.0000,1983.0000,1156.0000,1000.0000,303.0000,240.0000,16.0000,-42.0000,140.0000,-4064.0000,0.0856,-0.4483,-0.2306,0.8593,146.3900,-74.8000,-107.4000,-22.9000,-2.1400,10.7600,0.0000,0.0000,-0.0000,1999.0000,1656.0000,1500.0000,1985.0000
168238.4680,2.0000,1983.0000,1156.0000,1000.0000,345.0000,232.0000,14.0000,274.0000,496.0000,-9197.0000,0.1121,-0.4740,-0.1863,0.8533,145.8000,-74.8400,-107.2900,-22.6000,-2.2700,11.0300,0.0000,0.0000,-0.0000,1999.0000,1656.0000,1500.0000,1985.0000
168255.2570,2.0000,1983.0000,1156.0000,1000.0000,398.0000,162.0000,9.0000,230.0000,321.0000,-12767.0000,0.1407,-0.4923,-0.1364,0.8481,145.8000,-74.8400,-107.2900,-22.6000,-2.2700,11.0300,0.0000,0.0000,-0.0000,1999.0000,1656.0000,1500.0000,1985.0000
168271.8820,2.0000,1983.0000,1156.0000,1000.0000,475.0000,78.0000,2.0000,46.0000,176.0000,-12770.0000,0.1725,-0.4968,-0.0798,0.8468,145.2200,-74.8900,-107.2500,-21.9400,-2.3700,11.2200,0.0000,0.0000,-0.0000,1999.0000,1656.0000,1500.0000,1985.0000
168288.7030,2.0000,1983.0000,1156.0000,1000.0000,530.0000,0.0000,-4.0000,-157.0000,173.0000,-10606.0000,0.2082,-0.4877,-0.0171,0.8476,144.6800,-74.9300,-107.2500,-21.1800,-2.3100,11.3700,0.0000,0.0000,-0.0000,1999.0000,1656.0000,1500.0000,1985.0000
168305.8460,2.0000,1000.0000,1656.0000,2000.0000,573.0000,-43.0000,0.0000,-439.0000,-232.0000,-7430.0000,0.2465,-0.4656,0.0505,0.8485,144.2000,-74.9600,-107.2500,-20.6800,-2.1000,11.7300,0.0000,0.0000,-0.0000,1011.0000,1167.0000,1500.0000,1068.0000
168322.9420,2.0000,1000.0000,1656.0000,2000.0000,596.0000,-69.0000,10.0000,-165.0000,-505.0000,-3755.0000,0.2852,-0.4348,0.1218,0.8455,143.6300,-75.0000,-107.2600,-20.6700,-1.9000,11.9600,0.0000,0.0000,-0.0000,1011.0000,1167.0000,1500.0000,1068.0000
168339.6870,2.0000,1000.0000,1656.0000,2000.0000,574.0000,-41.0000,30.0000,-279.0000,-427.0000,-329.0000,0.3191,-0.4018,0.1926,0.8365,143.0600,-75.0400,-107.2600,-21.0000,-1.8400,12.0600,0.0000,0.0000,-0.0000,1011.0000,1167.0000,1500.0000,1068.0000
168356.6290,2.0000,1000.0000,1656.0000,2000.0000,502.0000,4.0000,59.0000,-367.0000,-563.0000,2125.0000,0.3441,-0.3716,0.2601,0.8221,143.0600,-75.0400,-107.2600,-21.0000,-1.8400,12.0600,0.0000,0.0000,-0.0000,1011.0000,1167.0000,1500.0000,1068.0000
